Riding Name, Riding ID, Mp Name, MP ID, Party
Toronto—Danforth,823,Dabrusin, Julie,88994,Liberal
Toronto—St. Paul's,804,Bennett, Carolyn  (Hon.),992,Liberal
Trois-Rivières,712,Aubin, Robert,71560,NDP
University—Rosedale,824,Freeland, Chrystia  (Hon.),84665,Liberal
Vancouver Centre,931,Fry, Hedy  (Hon.),1589,Liberal
Vancouver East,932,Kwan, Jenny,89346,NDP
Vancouver Granville,933,Wilson-Raybould, Jody  (Hon.),89494,Liberal
Vancouver Kingsway,935,Davies, Don,59325,NDP
Vancouver Quadra,936,Murray, Joyce,35950,Liberal
Vancouver South,937,Sajjan, Harjit S.  (Hon.),89497,Liberal
Vaudreuil—Soulanges,710,Schiefke, Peter,88649,Liberal
Vaughan—Woodbridge,825,Sorbara, Francesco,88999,Liberal
Victoria,938,Rankin, Murray,60078,NDP
Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,713,Miller, Marc,88660,Liberal
Vimy,714,Nassif, Eva,58806,Liberal
Waterloo,826,Chagger, Bardish  (Hon.),89000,Liberal
Wellington—Halton Hills,827,Chong, Michael  (Hon.),25488,Conservative
West Nova,626,Fraser, Colin,88346,Liberal
West Vancouver—Sunshine Coast—Sea to Sky Country,939,Goldsmith-Jones, Pam,89370,Liberal
Whitby,828,Caesar-Chavannes, Celina,86786,Liberal
Willowdale,829,Ehsassi, Ali,89010,Liberal
Windsor West,831,Masse, Brian,9137,NDP
Windsor—Tecumseh,830,Hardcastle, Cheryl,89012,NDP
Winnipeg Centre,846,Ouellette, Robert-Falcon,89466,Liberal
Winnipeg North,847,Lamoureux, Kevin,30552,Liberal
Winnipeg South,848,Duguid, Terry,31119,Liberal
Winnipeg South Centre,849,Carr, Jim  (Hon.),89059,Liberal
Yellowhead,897,Eglinski, Jim,48292,Conservative
York Centre,832,Levitt, Michael,89018,Liberal
York South—Weston,834,Hussen, Ahmed,89020,Liberal
York—Simcoe,833,Van Loan, Peter  (Hon.),25465,Conservative
Yorkton—Melville,863,Wagantall, Cathay,89098,Conservative
Yukon,940,Bagnell, Larry  (Hon.),1796,Liberal
